pcp,insure,smoke,obese,healthfood,male,lt55,white,edu,unemploy,hhinc,commute,compressor,logMortRate
93,21.76470588,26.8,34.3,1.603050892,49.14,64.57,86.38,10.36,5.5,36904,25,0,-0.634878272
4474,18.33851133,19.2,29.5,10.11942942,47.99,74.68,59.26,32.03,8.02,46410,20,1,-0.616186139
188,20.50804169,19.2,32.8,14.17265879,48.84,67.47,96.44,14.45,5.94,36487,28,1,-0.597837001
322,19.17727718,21.8,35.9,14.66687434,54.88,74.26,44.24,11.77,12.8,31336,20,0,-0.653926467
173,19.74898732,18.1,32.9,7.395063376,48.39,72.56,69.29,20.35,14.35,32351,21,0,-0.653926467
142,24.43750673,31.7,35.2,7.411013477,50.59,69.96,89.5,12.25,9.43,36754,22,0,-0.597837001
133,24.95603517,20.1,32.4,19.12849033,50.37,61.84,96.08,13.87,6.81,33610,33,0,-0.562118918
1046,23.12147244,21.4,31.5,5.294279601,49.04,74.08,82.45,19.74,6.81,39208,18,0,-0.634878272
353,31.04282929,22.4,31.6,19.8569708,49.52,75.93,65.25,8.25,11.58,36218,22,0,-0.510825624
244,22.37837012,31.1,31,8.833366202,49.08,60.6,95.91,10.65,10.36,30826,28,0,-0.616186139
191,24.09100353,26.5,33,12.35956711,49.8,60.11,98.56,16.27,6.11,29982,23,0,-0.653926467
481,18.57883908,26.3,31.6,11.18941594,48.31,70.15,64.83,17.37,10.39,38762,18,0,-0.510825624
273,21.97045089,31.2,29.3,6.487081967,49.83,61.77,95.65,12.21,13.88,31030,28,0,-0.673344553
2233,23.26548333,20,25.3,7.299587997,50.02,80.16,78.57,29.28,7.07,41983,21,0,-0.733969175
714,19.97809762,17.5,27.7,5.799070862,49.24,74.22,91.25,18.96,7.07,42852,23,1,-0.673344553
83,20.74213406,22.1,30.9,2.457833655,48.14,65.2,69.79,9,12.6,27165,21,0,-0.616186139
351,27.11267606,23.1,28.7,3.482367066,49.99,71.68,84.8,11.94,8.11,37378,21,0,-0.544727175
1036,16.10842354,23,28.8,6.154961372,49.17,71.69,90.91,22.99,6.11,55697,26,0,-0.713349888
1319,21.56011821,18.4,23.7,43.82803865,49.66,76.16,23.4,10.1,20.1,32396,30,1,-0.415515444
2318,22.56216978,15.2,16.8,13.09584823,49.45,78.42,62.34,32.84,9.68,48540,18,1,-0.634878272
1239,19.61239353,24.4,25.9,11.54564339,49.85,59.05,79.2,17.06,12.07,40042,21,0,-0.478035801
1120,17.39041516,16.3,25.9,13.70231863,53.67,77.95,76.21,13.57,13.16,46965,22,0,-0.371063681
2263,18.8468566,21.7,23.4,12.33563543,51.04,68.31,79.78,23.1,9.3,45974,19,1,-0.430782916
1104,26.24767572,18.5,31.8,18.94224948,51.09,50.55,71.84,10.18,12.24,37009,12,1,-0.579818495
7911,19.64603778,15.8,19.6,3.667381897,49.43,76.14,80.11,29.96,8.87,53689,25,0,-0.634878272
2406,20.11107516,26.9,31.6,17.25378977,50.27,59.11,89.31,12.23,14.29,38456,19,1,-0.527632742
1075,14.4203957,19.8,24.5,25.86713666,52.86,76.3,86.25,11.77,8.71,50818,18,0,-0.371063681
5115,17.65790511,15.6,19.8,7.261065417,49.17,70.8,78.78,30.07,10.78,46233,24,1,-0.46203546
2856,19.42336067,17.3,23,4.771033552,51.96,72.48,79.43,17.85,11.58,50248,31,1,-0.544727175
2372,26.15242179,17.3,18.9,10.78107553,47.94,73.24,75.72,22,11.75,38802,21,0,-0.342490309
2258,19.14934356,19.3,21.1,12.08128562,48.95,56.19,91.91,24.87,10.9,44000,23,1,-0.579818495
3196,24.13939914,14,25.1,10.52968995,50.88,74.02,76.88,13.97,13.37,41380,19,0,-0.579818495
1403,21.16911549,16.8,24,18.23207851,49.89,72.97,49.19,14.53,19.87,36591,23,1,-0.494296322
3671,14.8324841,10.6,16,1.604128383,48.99,76.3,45.34,42.12,9.59,73775,29,0,-0.527632742
164,15.05414313,21.2,17.2,3.150091993,53.73,59.03,87.6,20.45,15.88,52964,30,0,-0.579818495
195,15.47075545,19.1,17.7,2.147078152,49.55,57.99,91.56,21.06,11.29,54936,34,0,-0.616186139
2871,13.74082469,11.6,16.4,2.703588012,48.76,73.97,62.09,39.44,9.8,79799,34,0,-0.653926467
118,17.27221386,20.3,18,10.21732244,55.45,71.68,76.38,16.04,12.57,39302,14,0,-0.446287103
738,13.31202985,14.3,15.2,4.752817828,50.01,67.32,87.27,32.08,11.33,68507,28,0,-0.693147181
2163,22.39585016,13.9,20,5.452083783,49.9,79.47,58.59,19.48,14.32,45201,22,0,-0.415515444
132,23.62907558,15,18.7,5.338263353,50.69,73.63,85.15,15.72,13.48,40106,22,0,-0.527632742
669,20.39206791,18.6,17.2,6.502850074,50.07,71.18,82,27.5,11.32,42153,18,0,-0.616186139
431,22.82816879,12.4,23.1,8.04700349,51.26,78.84,68.25,13.4,18.08,41772,21,0,-0.430782916
2021,21.88975018,16,22.1,5.404176248,51.38,80.89,73.74,15.18,13.24,48574,24,0,-0.430782916
307,21.22123777,12.5,19.6,5.640467801,55.64,82.67,70.63,12.45,14.19,47341,21,0,-0.415515444
298,20.3484041,24.5,20.1,7.733389599,50.3,63.99,80.35,16.19,16.65,35997,27,0,-0.579818495
179,14.64464843,18.1,16.6,29.7211497,67.03,77.03,72.34,12.88,13.41,53351,20,0,-0.634878272
931,19.83993994,19.2,16.8,7.219096294,49.53,70.59,83.53,25.04,13.11,43165,20,0,-0.634878272
413,24.13132115,13.8,18.6,7.533121558,48.18,77.06,82.54,13.49,9.52,45490,26,0,-0.46203546
934,12.01127437,9.7,10.8,1.976600918,49,66.08,79.43,54.8,7.16,91529,29,0,-0.798507696
117,16.4700897,20.4,20.5,5.920276932,50.43,58.63,88.32,22.4,13.18,50560,32,0,-0.673344553
423,23.33552343,18.2,18.8,7.483601001,50.2,66.56,82.34,22.53,12.32,43290,18,0,-0.653926467
572,22.13480629,11.7,18.7,5.504610526,50.42,80.76,64.52,13.03,17.52,43066,26,0,-0.356674944
1046,23.83372492,12.5,15.4,3.117996712,51.32,77.97,75.27,23.11,9.64,58582,22,0,-0.446287103
462,18.46344813,8.5,14.2,2.644000259,49.77,70.54,77.23,31.91,8.39,70925,24,0,-0.478035801
515,17.41108036,14.1,13.4,5.342882286,49.5,60.01,92.63,32.8,10.67,56949,25,0,-0.733969175
6878,19.34254532,10.9,16,0.958060706,49.41,76.35,62.94,37.31,8.79,75998,27,0,-0.527632742
1188,12.23280473,8.1,14.5,2.239395567,48.82,70.41,83.95,35.68,9.34,73747,27,0,-0.653926467
4974,22.30021193,14.6,20.3,6.178630951,49.76,77.24,65.31,20.77,14.33,56592,32,0,-0.562118918
3768,16.17320398,14.6,18.4,3.660329803,48.93,76.52,59.71,28.24,13.09,55615,26,0,-0.527632742
13397,24.80185372,12.3,18.1,1.419437314,49.26,77.58,53.43,29.91,11.04,55870,30,0,-0.356674944
7966,19.00103499,12.1,16.1,2.727386047,50.21,76.88,70.98,35.1,9.59,63996,25,0,-0.46203546
1959,13.93814726,9.5,15.9,1.37728193,50.84,73.8,49.48,52.92,7.59,78378,31,0,-0.544727175
1596,19.26679873,16.4,21.3,3.583041513,49.73,78.39,57.84,18.1,14.99,53253,30,0,-0.478035801
